Consulate: YDE
+---------------+-------------+---------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City    | Country   | PrevStatus   | Status   | statusDate   |
| 2023AF62534   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62578   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62701   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62810   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62839   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62994   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63005   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63036   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63043   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63048   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63104   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63110   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63125   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63215   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63249   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63279   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63304   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63325   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63351   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63423   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF63440   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
+---------------+-------------+---------+-----------+--------------+----------+--------------+
