Consulate: ADD
+---------------+-------------+-------------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City        | Country   | PrevStatus   | Status   | statusDate   |
| 2023AF32324   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF32661   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF32820   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF33041   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF33211   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF33260   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF33356   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF33415   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF33875   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF33935   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF34087   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF34268   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF34532   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF35149   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF35158   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF35209   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF35260   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF35643   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF35685   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF35874   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF35919   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF36134   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF36241   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF36266   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF36293   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF36371   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF36592   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF36689   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37177   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37216   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37239   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37572   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37591   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37736   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37745   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37797   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37893   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF37899   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF38629   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
